measurement,measurement_2,class
85937,48073,five
89791,56875,five
86718,55520,five
83281,47136,five
85365,57500,five
94010,54062,five
84166,48698,five
89479,55365,five
85365,56354,five
75989,47916,five
90469,56354,five
97084,49531,five
89167,46198,five
92291,47917,five
91875,49322,five
93646,55313,five
84844,56718,five
85990,50781,five
99479,46979,five
85417,47084,five
79115,47344,five
90469,56510,five
91406,54791,five
85990,47447,five
91615,49323,five
10937,345365,five
87656,58333,five
22292,39166,five
145677,26823,five
98593,49428,five
97084,405104,five
85781,41250,five
89843,56666,five
87240,50000,five
88959,53541,five
105781,70677,five
86406,55000,five
91875,22969,five
83697,50573,five
83281,48907,five
84688,45052,five
143854,54948,five
67917,37344,five
83230,56198,five
90729,54635,five
87083,56146,five
85209,40521,five
85105,45625,five
80052,52864,five
91406,54271,five
87708,46875,five
90521,57448,five
106771,51198,five
87083,49114,five
111146,52084,five
86823,43386,five
97500,57187,five
96823,46822,five
89583,46562,five
85625,54844,five
88959,46980,five
116875,79531,five
83750,48334,five
88125,60052,five
92031,22448,five
96563,48593,five
108281,44584,five
87187,52500,five
243073,42344,five
9479,21875,five
72657,48542,five
83437,20885,five
93177,48125,five
86719,56771,five
159219,52813,five
87760,56719,five
82343,54844,five
75885,47135,five
13229,56042,five
88802,47031,five
87083,57031,five
91771,48750,five
88646,56511,five
78594,497969,six
78385,47656,six
81406,46198,six
94219,57240,six
129739,83385,six
104688,71615,six
88750,10364,six
79375,50260,six
90000,47083,six
80417,50104,six
142136,88229,six
111145,74948,six
96719,265990,six
70938,42500,six
76875,54010,six
72239,44427,six
76302,47500,six
87187,47917,six
87083,56406,six
95104,60157,six
93385,54740,six
95313,49844,six
80104,46458,six
99896,56927,six
96511,54115,six
86094,41614,six
90208,48750,six
88177,57448,six
94531,63542,six
82291,41510,six
92187,54167,six
87084,45937,six
84896,50938,six
86094,45833,six
80834,47709,six
106771,65209,six
92916,57448,six
101354,54114,six
72344,51667,six
104114,62917,six
96458,51719,six
88437,54531,six
72813,49792,six
96823,49270,six
67448,59688,six
74687,46510,six
90729,55833,six
78698,38542,six
72813,49166,six
81198,39063,six
74271,48959,six
122761,49948,six
81250,50520,six
93959,64688,six
71146,45677,six
122292,120782,six
72604,43125,six
73646,49375,six
95260,62709,six
91823,41406,six
87396,53333,six
90156,57865,six
80209,52604,six
79062,46928,six
198698,54948,six
16458,52917,six
96614,63594,six
120729,87761,six
74687,50729,six
107500,57500,six
124323,57031,six
131042,90052,six
81302,40938,six
150782,47812,six
77916,45885,six
79844,57240,six
79532,47604,six
82448,47500,six
76354,41979,six
85000,48803,six
79167,21614,six
30052,51302,six
74115,54791,six
116979,82552,six
80260,53542,six
98802,56615,six
81250,52083,six
80834,45833,six
91614,57969,six
65937,63490,six
